"","orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","container_no","reference_no","is_extant","n_occs"
"1605","95408",95408,"txn","","genus","Charruodon",NA,95408,"genus","Charruodon",95404,"",57412,"extinct",2
"1606","333701",333701,"txn","","species","Charruodon tetracuspidatus",NA,333701,"species","Charruodon tetracuspidatus",95408,"",57412,"extinct",1
"1607","105017",105017,"txn","","genus","Meurthodon",NA,105017,"genus","Meurthodon",95404,"",24930,"extinct",2
"1608","105018",105018,"txn","","species","Meurthodon gallicus",NA,105018,"species","Meurthodon gallicus",105017,"",24930,"extinct",1
"1609","39208",39208,"txn","","family","Tritylodontidae",NA,39208,"family","Tritylodontidae",39168,"",4783,"extinct",162
"1610","39209",39209,"txn","","genus","Bienotherium",NA,39209,"genus","Bienotherium",39208,"",43807,"extinct",12
"1611","174083",174083,"txn","","species","Bienotherium magnum",NA,174083,"species","Bienotherium magnum",39209,"",43815,"extinct",1
"1612","252060",252060,"txn","","species","Bienotherium minor",NA,252060,"species","Bienotherium minor",39209,"",43814,"extinct",1
"1613","64289",64289,"txn","","species","Bienotherium yunnanense",NA,64289,"species","Bienotherium yunnanense",39209,"",12539,"extinct",4
"1614","39210",39210,"txn","","genus","Bienotheroides",NA,39210,"genus","Bienotheroides",39208,"",25945,"extinct",6
"1615","106777",106777,"txn","","species","Bienotheroides shartegensis",NA,106777,"species","Bienotheroides shartegensis",39210,"",25233,"extinct",1
"1616","255011",255011,"txn","","species","Bienotheroides ultimus",NA,255011,"species","Bienotheroides ultimus",39210,"",44206,"extinct",1
"1617","260786",260786,"txn","","species","Bienotheroides zigongensis",NA,260786,"species","Bienotheroides zigongensis",39210,"",45351,"extinct",1
"1618","39211",39211,"txn","","genus","Bocatherium",NA,39211,"genus","Bocatherium",39208,"",7714,"extinct",2
"1619","252017",252017,"txn","","species","Bocatherium mexicanum",NA,252017,"species","Bocatherium mexicanum",39211,"",7714,"extinct",1
"1620","207521",207521,"txn","","genus","Chalepotherium",NA,207521,"genus","Chalepotherium",39208,"",38748,"extinct",2
"1621","207522",207523,"txn","","species","Chalepotherium plieningeri",NA,207522,"species","Chalepotherium plieningeri",207521,"",38748,"extinct",1
"1622","252929",252929,"txn","","genus","Dianzhongia",NA,252929,"genus","Dianzhongia",39208,"",43955,"extinct",2
