Species	Status
Sysphinctostoma_sp.	extinct
Tagaria_sp.	extinct
Tashkumyrodon_sp.	extinct
Tashtykia_sp.	extinct
Tathiodon_sp.	extinct
Tedoribaatar_sp.	extinct
Tegotherium_sp.	extinct
Teinolophos_sp.	extinct
Telacodon_sp.	extinct
Tendagurodon_sp.	extinct
Tendagurutherium_sp.	extinct
Tessellatia_sp.	extinct
Teutonodon_sp.	extinct
Thereuodon_sp.	extinct
Theroteinus_sp.	extinct
Thlaeodon_sp.	extinct
Thomasia_sp.	extinct
Thrinaxodon_sp.	extinct
Tikitherium_sp.	extinct
Tinodon_sp.	extinct
Titanogomphodon_sp.	extinct
Tombaatar_sp.	extinct
Trapalcotherium_sp.	extinct
Traversodon_sp.	extinct
Tribactonodon_sp.	extinct
Tribotherium_sp.	extinct
Triconodon_sp.	extinct
Triconolestes_sp.	extinct
Trioracodon_sp.	extinct
Trirachodon_sp.	extinct
Trishulotherium_sp.	extinct
Tritheledon_sp.	extinct
Tritylodon_sp.	extinct
Tritylodontoides_sp.	extinct
Trucidocynodon_sp.	extinct
Tsagandelta_sp.	extinct
Turgidodon_sp.	extinct
Uchkudukodon_sp.	extinct
Ukhaatherium_sp.	extinct
Unnuakomys_sp.	extinct
Uralocynodon_sp.	extinct
Uzbekbaatar_sp.	extinct
Valenopsalis_sp.	extinct
Varalphadon_sp.	extinct
Vilevolodon_sp.	extinct
Vincelestes_sp.	extinct
Vintana_sp.	extinct
Viridomys_sp.	extinct
Volaticotherium_sp.	extinct
Wareolestes_sp.	extinct
Woutersia_sp.	extinct
Xenachoffatia_sp.	extinct
Xianshou_sp.	extinct
Yanoconodon_sp.	extinct
Yaverlestes_sp.	extinct
Yermakia_sp.	extinct
Yuanotherium_sp.	extinct
Yubaatar_sp.	extinct
Yunnanodon_sp.	extinct
Zalambdalestes_sp.	extinct
Zhalmouzia_sp.	extinct
Zhangheotherium_sp.	extinct
Zhangolestes_sp.	extinct
Zhelestes_sp.	extinct
Zofiabaatar_sp.	extinct
Zofialestes_sp.	extinct
Zygiocuspis_sp.	extinct
